IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.87.246,2086,false,SIN,Asia Pacific,Singapore,238 ms,6453 kB/s
8.219.177.205,80,false,SIN,Asia Pacific,Singapore,218 ms,6423 kB/s
8.219.235.164,8080,false,SIN,Asia Pacific,Singapore,220 ms,6410 kB/s
8.219.106.156,8880,false,SIN,Asia Pacific,Singapore,241 ms,6410 kB/s
47.236.254.120,2052,false,SIN,Asia Pacific,Singapore,232 ms,6407 kB/s
47.236.10.182,80,false,SIN,Asia Pacific,Singapore,244 ms,6404 kB/s
8.219.78.188,8880,false,SIN,Asia Pacific,Singapore,235 ms,6403 kB/s
47.236.158.158,2086,false,SIN,Asia Pacific,Singapore,216 ms,6399 kB/s
47.236.125.62,8080,false,NRT,Asia Pacific,Tokyo,286 ms,6384 kB/s
47.236.87.246,2052,false,SIN,Asia Pacific,Singapore,228 ms,6384 kB/s
47.236.144.156,2086,false,SIN,Asia Pacific,Singapore,219 ms,6366 kB/s
47.236.166.131,2086,false,SIN,Asia Pacific,Singapore,233 ms,6362 kB/s
47.236.169.164,2095,false,SIN,Asia Pacific,Singapore,233 ms,6362 kB/s
47.237.92.26,8880,false,SIN,Asia Pacific,Singapore,224 ms,6358 kB/s
47.237.95.140,2052,false,SIN,Asia Pacific,Singapore,234 ms,6349 kB/s
8.219.4.122,2095,false,SIN,Asia Pacific,Singapore,225 ms,6348 kB/s
47.236.169.141,2086,false,SIN,Asia Pacific,Singapore,229 ms,6348 kB/s
8.219.78.188,2082,false,SIN,Asia Pacific,Singapore,229 ms,6341 kB/s
47.236.80.110,2095,false,SIN,Asia Pacific,Singapore,242 ms,6315 kB/s
47.236.170.54,2095,false,SIN,Asia Pacific,Singapore,216 ms,6311 kB/s
47.236.118.216,2052,false,SIN,Asia Pacific,Singapore,258 ms,6301 kB/s
8.222.144.50,2095,false,SIN,Asia Pacific,Singapore,257 ms,6286 kB/s
47.236.75.113,8080,false,SIN,Asia Pacific,Singapore,222 ms,6278 kB/s
47.237.95.140,2086,false,SIN,Asia Pacific,Singapore,245 ms,6259 kB/s
8.219.124.227,8880,false,SIN,Asia Pacific,Singapore,221 ms,6248 kB/s
47.237.81.112,8880,false,SIN,Asia Pacific,Singapore,242 ms,6245 kB/s
47.237.95.13,2086,false,SIN,Asia Pacific,Singapore,230 ms,6240 kB/s
47.236.146.249,8080,false,SIN,Asia Pacific,Singapore,227 ms,6236 kB/s
47.236.75.113,2052,false,SIN,Asia Pacific,Singapore,221 ms,6233 kB/s
47.237.100.206,2086,false,SIN,Asia Pacific,Singapore,238 ms,6230 kB/s
47.237.95.13,2052,false,SIN,Asia Pacific,Singapore,234 ms,6230 kB/s
47.237.83.20,2095,false,SIN,Asia Pacific,Singapore,247 ms,6222 kB/s
47.236.144.156,2052,false,SIN,Asia Pacific,Singapore,220 ms,6219 kB/s
47.237.95.156,2082,false,SIN,Asia Pacific,Singapore,225 ms,6211 kB/s
47.236.169.164,8880,false,SIN,Asia Pacific,Singapore,229 ms,6207 kB/s
8.219.198.139,8880,false,SIN,Asia Pacific,Singapore,218 ms,6190 kB/s
8.219.142.191,2086,false,SIN,Asia Pacific,Singapore,230 ms,6172 kB/s
8.219.78.188,80,false,SIN,Asia Pacific,Singapore,234 ms,6170 kB/s
8.219.124.227,80,false,SIN,Asia Pacific,Singapore,228 ms,6157 kB/s
47.236.150.13,2052,false,SIN,Asia Pacific,Singapore,227 ms,6150 kB/s
47.237.92.26,2082,false,SIN,Asia Pacific,Singapore,224 ms,6147 kB/s
47.236.80.110,2086,false,SIN,Asia Pacific,Singapore,223 ms,6146 kB/s
47.237.10.1,8080,false,SIN,Asia Pacific,Singapore,228 ms,6139 kB/s
47.236.75.113,2082,false,SIN,Asia Pacific,Singapore,227 ms,6130 kB/s
47.236.75.113,80,false,SIN,Asia Pacific,Singapore,236 ms,6120 kB/s
47.236.5.223,2082,false,SIN,Asia Pacific,Singapore,230 ms,6118 kB/s
47.236.169.164,80,false,SIN,Asia Pacific,Singapore,223 ms,6114 kB/s
47.237.8.82,2086,false,SIN,Asia Pacific,Singapore,225 ms,6107 kB/s
8.219.4.122,8080,false,SIN,Asia Pacific,Singapore,222 ms,6100 kB/s
8.219.67.133,2095,false,SIN,Asia Pacific,Singapore,235 ms,6078 kB/s
47.236.93.176,2082,false,SIN,Asia Pacific,Singapore,235 ms,6049 kB/s
47.236.169.164,2052,false,SIN,Asia Pacific,Singapore,234 ms,6047 kB/s
47.236.254.120,8880,false,SIN,Asia Pacific,Singapore,247 ms,6023 kB/s
8.219.122.55,8080,false,SIN,Asia Pacific,Singapore,239 ms,6022 kB/s
8.219.191.110,2086,false,SIN,Asia Pacific,Singapore,228 ms,6001 kB/s
8.219.87.30,2052,false,SIN,Asia Pacific,Singapore,225 ms,6001 kB/s
47.237.84.173,2086,false,SIN,Asia Pacific,Singapore,220 ms,5995 kB/s
47.236.9.152,80,false,SIN,Asia Pacific,Singapore,225 ms,5987 kB/s
47.236.205.188,8880,false,SIN,Asia Pacific,Singapore,220 ms,5971 kB/s
47.236.170.225,2095,false,SIN,Asia Pacific,Singapore,217 ms,5966 kB/s
47.236.80.110,80,false,SIN,Asia Pacific,Singapore,226 ms,5961 kB/s
47.236.168.17,80,false,SIN,Asia Pacific,Singapore,225 ms,5958 kB/s
47.236.205.188,2082,false,SIN,Asia Pacific,Singapore,236 ms,5953 kB/s
47.236.172.95,2095,false,SIN,Asia Pacific,Singapore,235 ms,5948 kB/s
8.219.106.156,2095,false,SIN,Asia Pacific,Singapore,235 ms,5941 kB/s
47.237.14.220,2086,false,SIN,Asia Pacific,Singapore,252 ms,5937 kB/s
8.219.78.188,2086,false,SIN,Asia Pacific,Singapore,233 ms,5932 kB/s
47.237.0.31,8080,false,SIN,Asia Pacific,Singapore,235 ms,5920 kB/s
8.219.6.150,2052,false,SIN,Asia Pacific,Singapore,221 ms,5919 kB/s
47.236.80.110,8880,false,SIN,Asia Pacific,Singapore,224 ms,5917 kB/s
47.236.145.85,80,false,SIN,Asia Pacific,Singapore,230 ms,5893 kB/s
47.237.95.146,8880,false,SIN,Asia Pacific,Singapore,229 ms,5886 kB/s
47.237.95.140,2095,false,SIN,Asia Pacific,Singapore,239 ms,5886 kB/s
8.219.210.57,2082,false,SIN,Asia Pacific,Singapore,222 ms,5873 kB/s
47.236.169.141,2095,false,SIN,Asia Pacific,Singapore,227 ms,5866 kB/s
8.219.78.188,8080,false,SIN,Asia Pacific,Singapore,237 ms,5847 kB/s
47.236.170.225,8080,false,SIN,Asia Pacific,Singapore,217 ms,5842 kB/s
47.236.144.48,2086,false,SIN,Asia Pacific,Singapore,225 ms,5831 kB/s
47.236.149.107,2052,false,SIN,Asia Pacific,Singapore,225 ms,5824 kB/s
8.222.144.50,8080,false,SIN,Asia Pacific,Singapore,234 ms,5824 kB/s
47.236.87.246,8080,false,SIN,Asia Pacific,Singapore,219 ms,5807 kB/s
47.237.10.1,2082,false,SIN,Asia Pacific,Singapore,231 ms,5805 kB/s
47.237.95.140,8880,false,SIN,Asia Pacific,Singapore,232 ms,5799 kB/s
47.236.145.85,8080,false,SIN,Asia Pacific,Singapore,226 ms,5798 kB/s
47.236.174.206,2086,false,SIN,Asia Pacific,Singapore,235 ms,5797 kB/s
47.237.8.82,2052,false,SIN,Asia Pacific,Singapore,216 ms,5794 kB/s
47.236.83.239,8080,false,SIN,Asia Pacific,Singapore,217 ms,5792 kB/s
47.236.87.246,2082,false,SIN,Asia Pacific,Singapore,242 ms,5786 kB/s
47.237.94.140,80,false,SIN,Asia Pacific,Singapore,228 ms,5778 kB/s
8.222.144.50,80,false,SIN,Asia Pacific,Singapore,246 ms,5773 kB/s
47.236.180.51,2095,false,SIN,Asia Pacific,Singapore,220 ms,5764 kB/s
8.219.191.40,2082,false,SIN,Asia Pacific,Singapore,222 ms,5750 kB/s
47.237.0.31,80,false,SIN,Asia Pacific,Singapore,231 ms,5748 kB/s
47.236.144.48,2082,false,SIN,Asia Pacific,Singapore,228 ms,5747 kB/s
47.236.205.188,2095,false,SIN,Asia Pacific,Singapore,221 ms,5744 kB/s
47.236.253.41,8080,false,SIN,Asia Pacific,Singapore,239 ms,5737 kB/s
47.237.10.1,8880,false,SIN,Asia Pacific,Singapore,237 ms,5725 kB/s
47.236.123.133,8880,false,SIN,Asia Pacific,Singapore,240 ms,5720 kB/s
8.219.83.201,8080,false,SIN,Asia Pacific,Singapore,223 ms,5720 kB/s
8.219.6.150,2086,false,SIN,Asia Pacific,Singapore,232 ms,5708 kB/s
47.236.202.91,80,false,SIN,Asia Pacific,Singapore,221 ms,5705 kB/s
47.236.83.239,2082,false,SIN,Asia Pacific,Singapore,232 ms,5703 kB/s
8.219.191.40,8880,false,SIN,Asia Pacific,Singapore,249 ms,5702 kB/s
47.236.118.216,2086,false,SIN,Asia Pacific,Singapore,248 ms,5697 kB/s
8.222.144.50,2052,false,SIN,Asia Pacific,Singapore,228 ms,5677 kB/s
47.237.95.146,2086,false,SIN,Asia Pacific,Singapore,230 ms,5675 kB/s
47.236.170.54,2082,false,SIN,Asia Pacific,Singapore,242 ms,5667 kB/s
47.236.144.196,8080,false,SIN,Asia Pacific,Singapore,231 ms,5665 kB/s
47.237.86.185,80,false,SIN,Asia Pacific,Singapore,219 ms,5659 kB/s
47.236.5.223,2086,false,SIN,Asia Pacific,Singapore,239 ms,5655 kB/s
47.237.0.31,2052,false,SIN,Asia Pacific,Singapore,223 ms,5655 kB/s
47.236.254.120,2095,false,SIN,Asia Pacific,Singapore,224 ms,5649 kB/s
8.219.6.150,2095,false,SIN,Asia Pacific,Singapore,216 ms,5641 kB/s
8.219.191.110,2082,false,SIN,Asia Pacific,Singapore,225 ms,5641 kB/s
47.236.97.90,2095,false,SIN,Asia Pacific,Singapore,236 ms,5628 kB/s
8.219.78.188,2052,false,SIN,Asia Pacific,Singapore,236 ms,5626 kB/s
47.237.95.140,8080,false,SIN,Asia Pacific,Singapore,251 ms,5625 kB/s
8.219.153.237,8880,false,NRT,Asia Pacific,Tokyo,306 ms,5621 kB/s
8.219.4.122,2086,false,SIN,Asia Pacific,Singapore,227 ms,5621 kB/s
8.219.153.237,2052,false,NRT,Asia Pacific,Tokyo,291 ms,5614 kB/s
8.219.87.30,2086,false,SIN,Asia Pacific,Singapore,222 ms,5614 kB/s
8.222.164.209,2082,false,SIN,Asia Pacific,Singapore,226 ms,5614 kB/s
8.219.87.30,2082,false,SIN,Asia Pacific,Singapore,230 ms,5611 kB/s
47.236.158.158,2052,false,SIN,Asia Pacific,Singapore,226 ms,5606 kB/s
47.236.171.205,2082,false,SIN,Asia Pacific,Singapore,232 ms,5606 kB/s
47.237.83.20,8880,false,SIN,Asia Pacific,Singapore,240 ms,5601 kB/s
47.237.86.185,8880,false,SIN,Asia Pacific,Singapore,226 ms,5590 kB/s
47.236.253.41,8880,false,SIN,Asia Pacific,Singapore,223 ms,5587 kB/s
8.219.107.135,2082,false,SIN,Asia Pacific,Singapore,223 ms,5584 kB/s
47.237.95.140,80,false,SIN,Asia Pacific,Singapore,226 ms,5551 kB/s
47.237.8.82,2095,false,SIN,Asia Pacific,Singapore,228 ms,5541 kB/s
8.219.4.122,8880,false,SIN,Asia Pacific,Singapore,232 ms,5520 kB/s
47.236.205.188,80,false,SIN,Asia Pacific,Singapore,246 ms,5513 kB/s
47.236.144.196,2082,false,SIN,Asia Pacific,Singapore,217 ms,5509 kB/s
47.236.146.249,2052,false,SIN,Asia Pacific,Singapore,218 ms,5506 kB/s
8.219.83.201,2052,false,SIN,Asia Pacific,Singapore,229 ms,5500 kB/s
47.236.172.95,8880,false,SIN,Asia Pacific,Singapore,236 ms,5496 kB/s
47.236.104.11,2052,false,SIN,Asia Pacific,Singapore,249 ms,5492 kB/s
47.236.146.249,2086,false,SIN,Asia Pacific,Singapore,224 ms,5487 kB/s
47.237.95.13,8080,false,SIN,Asia Pacific,Singapore,225 ms,5484 kB/s
8.219.235.164,2095,false,SIN,Asia Pacific,Singapore,217 ms,5482 kB/s
8.219.67.133,80,false,SIN,Asia Pacific,Singapore,217 ms,5477 kB/s
8.219.122.55,2052,false,SIN,Asia Pacific,Singapore,222 ms,5469 kB/s
47.236.150.13,2086,false,SIN,Asia Pacific,Singapore,243 ms,5466 kB/s
8.219.153.237,2086,false,NRT,Asia Pacific,Tokyo,293 ms,5464 kB/s
47.236.254.120,80,false,SIN,Asia Pacific,Singapore,239 ms,5462 kB/s
47.236.205.188,8080,false,SIN,Asia Pacific,Singapore,222 ms,5459 kB/s
47.236.172.95,8080,false,SIN,Asia Pacific,Singapore,256 ms,5457 kB/s
47.236.254.120,2082,false,SIN,Asia Pacific,Singapore,241 ms,5450 kB/s
47.237.8.82,80,false,SIN,Asia Pacific,Singapore,226 ms,5440 kB/s
47.236.254.120,8080,false,SIN,Asia Pacific,Singapore,220 ms,5440 kB/s
47.236.87.246,8880,false,SIN,Asia Pacific,Singapore,231 ms,5434 kB/s
47.236.144.48,80,false,SIN,Asia Pacific,Singapore,221 ms,5426 kB/s
47.236.97.90,8880,false,SIN,Asia Pacific,Singapore,228 ms,5416 kB/s
8.222.164.209,2052,false,SIN,Asia Pacific,Singapore,222 ms,5406 kB/s
47.236.202.91,2095,false,SIN,Asia Pacific,Singapore,235 ms,5405 kB/s
47.237.100.206,8080,false,SIN,Asia Pacific,Singapore,217 ms,5397 kB/s
47.237.100.206,2082,false,SIN,Asia Pacific,Singapore,224 ms,5396 kB/s
47.237.95.156,80,false,SIN,Asia Pacific,Singapore,226 ms,5394 kB/s
8.219.107.135,8080,false,SIN,Asia Pacific,Singapore,230 ms,5387 kB/s
47.237.94.140,2052,false,SIN,Asia Pacific,Singapore,223 ms,5379 kB/s
47.236.237.90,2086,false,SIN,Asia Pacific,Singapore,223 ms,5375 kB/s
47.237.83.20,2086,false,SIN,Asia Pacific,Singapore,234 ms,5373 kB/s
47.237.11.182,2095,false,SIN,Asia Pacific,Singapore,224 ms,5356 kB/s
8.219.177.205,2082,false,SIN,Asia Pacific,Singapore,234 ms,5356 kB/s
47.236.172.71,2052,false,SIN,Asia Pacific,Singapore,227 ms,5356 kB/s
47.236.123.133,2052,false,SIN,Asia Pacific,Singapore,244 ms,5351 kB/s
47.237.11.182,8080,false,SIN,Asia Pacific,Singapore,223 ms,5346 kB/s
47.236.146.249,2095,false,SIN,Asia Pacific,Singapore,231 ms,5329 kB/s
8.219.78.188,2095,false,SIN,Asia Pacific,Singapore,234 ms,5329 kB/s
47.236.174.206,8080,false,SIN,Asia Pacific,Singapore,237 ms,5318 kB/s
47.236.237.90,2052,false,SIN,Asia Pacific,Singapore,226 ms,5312 kB/s
8.219.66.156,2052,false,NRT,Asia Pacific,Tokyo,306 ms,5307 kB/s
8.219.153.237,2095,false,NRT,Asia Pacific,Tokyo,297 ms,5296 kB/s
47.236.168.17,2086,false,SIN,Asia Pacific,Singapore,226 ms,5288 kB/s
47.237.94.140,2082,false,SIN,Asia Pacific,Singapore,249 ms,5286 kB/s
47.236.5.223,2052,false,SIN,Asia Pacific,Singapore,226 ms,5282 kB/s
8.219.107.135,2095,false,SIN,Asia Pacific,Singapore,225 ms,5280 kB/s
47.236.80.110,2082,false,SIN,Asia Pacific,Singapore,232 ms,5278 kB/s
47.237.81.112,2082,false,SIN,Asia Pacific,Singapore,235 ms,5271 kB/s
8.219.122.55,80,false,SIN,Asia Pacific,Singapore,243 ms,5269 kB/s
47.237.86.185,2082,false,SIN,Asia Pacific,Singapore,227 ms,5267 kB/s
47.236.118.216,8880,false,SIN,Asia Pacific,Singapore,251 ms,5263 kB/s
47.236.5.223,80,false,SIN,Asia Pacific,Singapore,218 ms,5243 kB/s
47.237.10.1,2086,false,SIN,Asia Pacific,Singapore,235 ms,5223 kB/s
8.219.142.191,2052,false,SIN,Asia Pacific,Singapore,232 ms,5221 kB/s
47.236.169.141,8080,false,SIN,Asia Pacific,Singapore,221 ms,5213 kB/s
47.236.146.249,2082,false,SIN,Asia Pacific,Singapore,230 ms,5208 kB/s
47.236.237.90,2082,false,SIN,Asia Pacific,Singapore,230 ms,5208 kB/s
47.236.174.206,80,false,SIN,Asia Pacific,Singapore,228 ms,5193 kB/s
8.219.6.150,80,false,SIN,Asia Pacific,Singapore,220 ms,5192 kB/s
47.236.165.25,2082,false,SIN,Asia Pacific,Singapore,235 ms,5187 kB/s
47.236.17.193,2086,false,SIN,Asia Pacific,Singapore,240 ms,5181 kB/s
47.237.95.140,2082,false,SIN,Asia Pacific,Singapore,245 ms,5171 kB/s
47.236.174.206,2082,false,SIN,Asia Pacific,Singapore,226 ms,5169 kB/s
8.219.191.40,2052,false,SIN,Asia Pacific,Singapore,231 ms,5164 kB/s
8.219.4.122,80,false,SIN,Asia Pacific,Singapore,229 ms,5158 kB/s
47.236.158.158,8880,false,SIN,Asia Pacific,Singapore,218 ms,5155 kB/s
47.237.94.140,8880,false,SIN,Asia Pacific,Singapore,225 ms,5154 kB/s
8.219.210.57,8080,false,SIN,Asia Pacific,Singapore,220 ms,5152 kB/s
47.236.75.113,2095,false,SIN,Asia Pacific,Singapore,217 ms,5150 kB/s
47.237.95.156,8080,false,SIN,Asia Pacific,Singapore,226 ms,5148 kB/s
47.236.144.48,2095,false,SIN,Asia Pacific,Singapore,219 ms,5144 kB/s
47.236.10.100,2095,false,SIN,Asia Pacific,Singapore,230 ms,5142 kB/s
8.219.122.55,2095,false,SIN,Asia Pacific,Singapore,229 ms,5137 kB/s
47.237.92.26,2095,false,SIN,Asia Pacific,Singapore,225 ms,5117 kB/s
8.219.153.237,2082,false,NRT,Asia Pacific,Tokyo,295 ms,5113 kB/s
47.237.11.182,2082,false,SIN,Asia Pacific,Singapore,227 ms,5110 kB/s
47.236.237.90,2095,false,SIN,Asia Pacific,Singapore,253 ms,5108 kB/s
47.236.17.193,2052,false,SIN,Asia Pacific,Singapore,234 ms,5099 kB/s
47.236.144.156,2082,false,SIN,Asia Pacific,Singapore,236 ms,5098 kB/s
8.219.235.164,2082,false,SIN,Asia Pacific,Singapore,240 ms,5088 kB/s
8.222.164.209,2086,false,SIN,Asia Pacific,Singapore,225 ms,5087 kB/s
47.237.83.20,2082,false,SIN,Asia Pacific,Singapore,231 ms,5079 kB/s
47.236.172.95,2052,false,SIN,Asia Pacific,Singapore,233 ms,5075 kB/s
47.236.180.51,8880,false,SIN,Asia Pacific,Singapore,263 ms,5068 kB/s
8.222.144.50,2082,false,SIN,Asia Pacific,Singapore,219 ms,5066 kB/s
47.237.81.112,2095,false,SIN,Asia Pacific,Singapore,224 ms,5063 kB/s
47.236.165.25,2052,false,SIN,Asia Pacific,Singapore,219 ms,5060 kB/s
47.237.82.15,8080,false,SIN,Asia Pacific,Singapore,237 ms,5060 kB/s
47.236.172.95,80,false,SIN,Asia Pacific,Singapore,233 ms,5052 kB/s
47.237.8.82,8080,false,SIN,Asia Pacific,Singapore,226 ms,5041 kB/s
47.236.180.51,2082,false,SIN,Asia Pacific,Singapore,227 ms,5039 kB/s
47.237.92.26,2052,false,SIN,Asia Pacific,Singapore,225 ms,5039 kB/s
47.236.80.110,8080,false,SIN,Asia Pacific,Singapore,227 ms,5037 kB/s
8.219.177.205,8880,false,SIN,Asia Pacific,Singapore,235 ms,5027 kB/s
8.219.66.156,8880,false,NRT,Asia Pacific,Tokyo,295 ms,5022 kB/s
47.236.144.208,2086,false,SIN,Asia Pacific,Singapore,219 ms,4990 kB/s
8.222.136.247,80,false,SIN,Asia Pacific,Singapore,229 ms,4989 kB/s
47.236.237.90,8080,false,SIN,Asia Pacific,Singapore,224 ms,4986 kB/s
47.236.205.188,2052,false,SIN,Asia Pacific,Singapore,236 ms,4984 kB/s
8.219.122.55,2082,false,SIN,Asia Pacific,Singapore,225 ms,4983 kB/s
8.222.136.247,8880,false,SIN,Asia Pacific,Singapore,231 ms,4982 kB/s
47.237.10.1,80,false,SIN,Asia Pacific,Singapore,220 ms,4980 kB/s
47.236.169.15,2082,false,SIN,Asia Pacific,Singapore,218 ms,4979 kB/s
47.236.150.13,8080,false,SIN,Asia Pacific,Singapore,229 ms,4974 kB/s
47.236.10.182,2052,false,SIN,Asia Pacific,Singapore,249 ms,4973 kB/s
47.236.170.54,8080,false,SIN,Asia Pacific,Singapore,223 ms,4970 kB/s
47.236.144.208,8880,false,SIN,Asia Pacific,Singapore,218 ms,4967 kB/s
47.237.84.173,2095,false,SIN,Asia Pacific,Singapore,220 ms,4964 kB/s
47.236.170.225,2082,false,SIN,Asia Pacific,Singapore,235 ms,4962 kB/s
47.236.166.131,2052,false,SIN,Asia Pacific,Singapore,238 ms,4957 kB/s
47.237.0.31,2095,false,SIN,Asia Pacific,Singapore,226 ms,4953 kB/s
47.236.10.100,8080,false,SIN,Asia Pacific,Singapore,229 ms,4952 kB/s
47.237.95.146,2052,false,SIN,Asia Pacific,Singapore,223 ms,4949 kB/s
8.219.142.191,8880,false,SIN,Asia Pacific,Singapore,233 ms,4948 kB/s
47.237.11.182,80,false,SIN,Asia Pacific,Singapore,214 ms,4942 kB/s
47.236.123.133,2095,false,SIN,Asia Pacific,Singapore,236 ms,4934 kB/s
8.222.144.50,2086,false,SIN,Asia Pacific,Singapore,218 ms,4934 kB/s
47.236.9.152,2082,false,SIN,Asia Pacific,Singapore,239 ms,4933 kB/s
47.236.145.85,2082,false,SIN,Asia Pacific,Singapore,242 ms,4932 kB/s
47.236.149.107,2086,false,SIN,Asia Pacific,Singapore,238 ms,4926 kB/s
47.236.253.41,2086,false,SIN,Asia Pacific,Singapore,235 ms,4925 kB/s
47.236.102.102,2052,false,SIN,Asia Pacific,Singapore,227 ms,4923 kB/s
47.236.80.110,2052,false,SIN,Asia Pacific,Singapore,236 ms,4921 kB/s
47.237.10.1,2095,false,SIN,Asia Pacific,Singapore,219 ms,4919 kB/s
47.236.17.193,8880,false,SIN,Asia Pacific,Singapore,230 ms,4916 kB/s
47.236.87.246,80,false,SIN,Asia Pacific,Singapore,218 ms,4912 kB/s
47.236.172.71,8080,false,SIN,Asia Pacific,Singapore,238 ms,4905 kB/s
47.237.94.140,2086,false,SIN,Asia Pacific,Singapore,227 ms,4897 kB/s
