IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.32.108,2052,false,HKG,Asia Pacific,Hong Kong,57 ms,12307 kB/s
8.219.106.156,2082,false,SIN,Asia Pacific,Singapore,232 ms,9945 kB/s
47.236.9.152,8080,false,SIN,Asia Pacific,Singapore,252 ms,9286 kB/s
47.236.144.48,2052,false,SIN,Asia Pacific,Singapore,252 ms,9233 kB/s
47.236.144.196,8880,false,SIN,Asia Pacific,Singapore,251 ms,8825 kB/s
8.219.106.156,2086,false,SIN,Asia Pacific,Singapore,232 ms,8806 kB/s
8.219.67.133,8080,false,SIN,Asia Pacific,Singapore,239 ms,8590 kB/s
47.236.17.193,2095,false,SIN,Asia Pacific,Singapore,223 ms,8536 kB/s
8.219.67.133,8880,false,SIN,Asia Pacific,Singapore,237 ms,8341 kB/s
8.219.142.191,8080,false,SIN,Asia Pacific,Singapore,238 ms,8329 kB/s
8.219.124.227,2086,false,SIN,Asia Pacific,Singapore,224 ms,8289 kB/s
47.237.94.140,2095,false,SIN,Asia Pacific,Singapore,249 ms,8247 kB/s
8.219.6.150,8880,false,SIN,Asia Pacific,Singapore,227 ms,8208 kB/s
8.222.208.38,2095,false,SIN,Asia Pacific,Singapore,221 ms,8167 kB/s
8.219.67.133,2086,false,SIN,Asia Pacific,Singapore,220 ms,8107 kB/s
8.219.67.133,2052,false,SIN,Asia Pacific,Singapore,216 ms,7998 kB/s
47.236.9.152,2052,false,SIN,Asia Pacific,Singapore,226 ms,7934 kB/s
47.236.97.90,2082,false,SIN,Asia Pacific,Singapore,225 ms,7875 kB/s
47.236.180.51,8080,false,SIN,Asia Pacific,Singapore,245 ms,7749 kB/s
8.219.177.205,2086,false,SIN,Asia Pacific,Singapore,217 ms,7672 kB/s
8.222.208.38,2052,false,SIN,Asia Pacific,Singapore,227 ms,7671 kB/s
47.236.170.54,2086,false,SIN,Asia Pacific,Singapore,228 ms,7539 kB/s
47.236.17.193,8080,false,SIN,Asia Pacific,Singapore,250 ms,7514 kB/s
8.219.87.30,2095,false,SIN,Asia Pacific,Singapore,224 ms,7439 kB/s
8.219.87.30,8080,false,SIN,Asia Pacific,Singapore,219 ms,7421 kB/s
47.236.174.206,8880,false,SIN,Asia Pacific,Singapore,252 ms,7355 kB/s
47.237.86.185,8080,false,SIN,Asia Pacific,Singapore,247 ms,7290 kB/s
8.219.83.201,80,false,SIN,Asia Pacific,Singapore,223 ms,7285 kB/s
47.236.168.17,8880,false,SIN,Asia Pacific,Singapore,239 ms,7142 kB/s
47.237.83.20,8080,false,SIN,Asia Pacific,Singapore,225 ms,7113 kB/s
47.237.82.15,2095,false,SIN,Asia Pacific,Singapore,242 ms,7069 kB/s
47.236.93.176,2095,false,SIN,Asia Pacific,Singapore,221 ms,7063 kB/s
47.236.169.15,2086,false,SIN,Asia Pacific,Singapore,234 ms,7022 kB/s
8.219.83.201,2082,false,SIN,Asia Pacific,Singapore,218 ms,7012 kB/s
47.237.82.15,80,false,SIN,Asia Pacific,Singapore,244 ms,6982 kB/s
47.237.92.26,2086,false,SIN,Asia Pacific,Singapore,229 ms,6968 kB/s
47.236.253.41,2082,false,SIN,Asia Pacific,Singapore,235 ms,6961 kB/s
47.237.82.15,2086,false,SIN,Asia Pacific,Singapore,236 ms,6948 kB/s
47.236.172.95,2082,false,SIN,Asia Pacific,Singapore,254 ms,6904 kB/s
47.237.95.156,2095,false,SIN,Asia Pacific,Singapore,243 ms,6856 kB/s
47.236.253.41,2052,false,SIN,Asia Pacific,Singapore,224 ms,6847 kB/s
47.236.169.141,80,false,SIN,Asia Pacific,Singapore,232 ms,6829 kB/s
47.237.81.112,80,false,SIN,Asia Pacific,Singapore,219 ms,6821 kB/s
8.219.67.133,2082,false,SIN,Asia Pacific,Singapore,236 ms,6720 kB/s
47.237.100.206,80,false,SIN,Asia Pacific,Singapore,226 ms,6697 kB/s
47.237.8.82,2082,false,SIN,Asia Pacific,Singapore,222 ms,6694 kB/s
47.236.9.152,2095,false,SIN,Asia Pacific,Singapore,246 ms,6686 kB/s
47.237.92.26,8080,false,SIN,Asia Pacific,Singapore,230 ms,6679 kB/s
47.236.5.223,8080,false,SIN,Asia Pacific,Singapore,230 ms,6669 kB/s
47.236.121.23,2052,false,SIN,Asia Pacific,Singapore,260 ms,6646 kB/s
47.236.170.54,2052,false,SIN,Asia Pacific,Singapore,233 ms,6643 kB/s
47.237.81.112,2052,false,SIN,Asia Pacific,Singapore,241 ms,6641 kB/s
47.236.180.51,80,false,SIN,Asia Pacific,Singapore,227 ms,6604 kB/s
8.219.83.201,8880,false,SIN,Asia Pacific,Singapore,219 ms,6603 kB/s
8.219.191.110,2052,false,SIN,Asia Pacific,Singapore,234 ms,6602 kB/s
47.237.95.146,80,false,SIN,Asia Pacific,Singapore,229 ms,6597 kB/s
47.237.83.20,80,false,SIN,Asia Pacific,Singapore,224 ms,6595 kB/s
47.237.11.182,2086,false,SIN,Asia Pacific,Singapore,221 ms,6538 kB/s
47.237.95.13,80,false,SIN,Asia Pacific,Singapore,244 ms,6528 kB/s
8.219.6.150,2082,false,SIN,Asia Pacific,Singapore,237 ms,6520 kB/s
47.237.14.220,2095,false,SIN,Asia Pacific,Singapore,247 ms,6514 kB/s
8.219.177.205,2052,false,SIN,Asia Pacific,Singapore,220 ms,6504 kB/s
8.219.124.227,2082,false,SIN,Asia Pacific,Singapore,221 ms,6504 kB/s
47.236.83.239,8880,false,SIN,Asia Pacific,Singapore,244 ms,6474 kB/s
